user_id,ev_model,user_type,include_subscription,sessions_per_month,start_lat,start_lon,end_lat,end_lon,depart_datetime,start_soc_pct,reserve_soc_pct,objective,max_detour_km,top_k_candidates,step_horizon_s,trip_km,est_required_kwh,available_kwh_at_start,kwh_per_km,needs_charge
10,Q8 e-tron,Payg,0,20,51.481571,-0.026632,51.482445,-0.215017,2025-09-07T17:10,24.43789298016683,13.625571581597862,cost,2.0,8,5,13.046,2.362942930724148,9.619785950197391,0.18112394072697746,0
11,250+,Payg,0,20,51.499396,-0.183668,51.523118,-0.091537,2025-09-07T09:00,19.253884731996212,12.545913914309608,hybrid,2.0,8,5,6.9,1.3648403526916606,1.3415941635373207,0.19780294966545806,1
12,mach-e sr,Payg,0,20,51.494202,-0.195152,51.475172,-0.089354,2025-09-01T09:02,19.474878824806158,10.219640717866925,cost,2.0,8,5,7.625,1.443534146218452,6.293951812164996,0.18931595360241996,0
13,EL6,Member,1,20,51.468361,-0.031025,51.451952,-0.23275,2025-09-06T08:02,22.884226196211515,10.808450090806609,cost,2.0,8,5,14.094,2.7438600653231724,2.415155221080981,0.1946828483981249,1
14,ORA 03 63 kWh,Member,1,20,51.51273,-0.032212,51.538433,-0.06191,2025-09-05T22:09,17.10782029973865,14.67624777386598,hybrid,2.0,8,5,3.52,0.6452245393961662,0.4863145051745338,0.18330242596481994,1
15,2,Payg,0,20,51.465343,-0.100493,51.520092,-0.056375,2025-09-07T09:00,16.99930286538111,10.515824963695142,time,2.0,8,5,6.811,1.2043016880222837,5.510956216433192,0.17681716165354333,0
16,GT,Member,1,20,51.546768,-0.028522,51.453265,-0.17638,2025-09-07T15:42,24.44856636769546,13.175463936048528,time,2.0,8,5,14.589,2.7228551237332206,9.57938752972144,0.18663754361047505,0
17,hatchback,Payg,0,20,51.536507,-0.239943,51.446526,-0.012107,2025-09-04T09:20,22.32235317731802,13.961628244204558,hybrid,2.0,8,5,18.679,3.2111912758030967,3.124270896058182,0.17191451768312527,1
18,Scenic,Payg,0,20,51.52694,-0.060185,51.464105,-0.117412,2025-09-07T09:00,27.62029285182748,11.32719531362462,hybrid,2.0,8,5,8.032,1.5648660072033327,9.771108348712326,0.19482893515977748,0
19,Born 170 kW - 77 kWh,Member,1,20,51.504227,-0.025661,51.549347,-0.170644,2025-09-03T03:46,27.862989647524344,13.625390015693451,cost,2.0,8,5,11.215,2.1190734870846186,10.947132161363308,0.18894993197366194,0
20,C-Zero,Member,1,20,51.494927,-0.19992,51.474611,-0.17434,2025-09-07T18:33,13.54157151780047,10.849475895150901,hybrid,2.0,8,5,2.871,0.5533640970535533,0.5384191245299139,0.19274263220256121,1
21,turbo s,Payg,0,20,51.50974,-0.087657,51.527612,-0.211954,2025-09-07T17:09,30.519165408116972,11.423751374168951,cost,2.0,8,5,8.827,1.5944720216204704,16.02244343113387,0.18063577904389605,0
22,RZ 450e,Payg,0,20,51.465595,-0.116421,51.460675,-0.184082,2025-09-06T09:00,18.383506969747227,11.559110154421038,time,2.0,8,5,4.719,0.9396517193135866,4.8737447023619165,0.1991209407318471,0
23,iX,Payg,0,20,51.527114,-0.025468,51.52462,-0.159854,2025-09-06T09:58,16.697376925746354,14.982174952821119,cost,2.0,8,5,9.301,1.8303775864825331,1.801983025126811,0.19679363363966595,1
24,60,Payg,0,20,51.530432,-0.146003,51.470205,-0.033355,2025-09-02T18:11,30.16227687016503,11.072861476089786,time,2.0,8,5,10.279,1.987460118992636,11.551925477943508,0.19335150491221287,0
25,Cooper,Payg,0,20,51.522988,-0.158553,51.535835,-0.139705,2025-09-05T04:35,11.564947401240829,10.646037323167924,hybrid,2.0,8,5,1.934,0.34007293782957115,0.33633141340702116,0.17583916123555904,1
26,450,Member,1,20,51.492569,-0.231397,51.533508,-0.095755,2025-09-07T09:00,23.570651372219054,14.62845718740705,time,2.0,8,5,10.432,1.9195050053264127,9.568147777748834,0.18400163011181103,0
27,x long range plus,Member,1,20,51.552562,-0.086519,51.554775,-0.115048,2025-09-07T09:00,15.977549433071246,10.809653469101765,hybrid,2.0,8,5,1.988,0.34057245659155033,5.065058739497544,0.17131411297361687,0
28,mach-e sr,Member,1,20,51.516007,-0.045958,51.511348,-0.177518,2025-09-06T10:26,22.221526370274326,14.396399598147028,time,2.0,8,5,9.119,1.5924389763449192,1.5650253544254595,0.17462868476202645,1
29,Zoe ZE50 R110,Payg,0,20,51.473548,-0.155687,51.515621,-0.085024,2025-09-06T09:00,19.557451085253888,13.25228313823345,cost,2.0,8,5,6.769,1.2894367509349454,1.2610335894040876,0.19049146859727364,1
30,Q4 e-tron,Member,1,20,51.474153,-0.078343,51.509407,-0.135874,2025-09-01T03:40,18.196260748874757,12.884307490352594,hybrid,2.0,8,5,5.588,1.0748119278163866,1.0623906517044326,0.19234286467723452,1
31,EL7,Payg,0,20,51.519581,-0.145823,51.450742,-0.085002,2025-09-06T09:00,25.824508378964453,13.756693557732884,hybrid,2.0,8,5,8.737,1.738883975968331,10.859428576499209,0.19902529197302632,0
32,4s plus,Payg,0,20,51.510526,-0.137384,51.515554,-0.226334,2025-09-02T10:12,30.6383129041691,13.629994785740251,hybrid,2.0,8,5,6.181,1.1111877961595575,14.232655092157474,0.17977476074414456,0
33,87kwh,Payg,0,20,51.53012,-0.098989,51.554031,-0.145511,2025-09-07T09:00,17.944602897590936,10.552630947091568,time,2.0,8,5,4.174,0.7559689643896864,6.425575617576941,0.1811137911810461,0
34,etron 45,Payg,0,20,51.462608,-0.216252,51.535325,-0.056346,2025-09-03T00:12,31.438110571810462,14.997330552033446,cost,2.0,8,5,13.708,2.5234601318290633,12.60715888432434,0.18408667433827425,0
35,turbo s sport turismo,Member,1,20,51.456628,-0.019641,51.536132,-0.048619,2025-09-06T22:19,25.94895082566507,14.709448632243642,hybrid,2.0,8,5,9.065,1.5925767361029715,9.40607822320574,0.17568414077252859,0
36,tourer extra-long,Member,1,20,51.5539,-0.161911,51.463296,-0.090702,2025-09-04T15:10,24.137294801379657,14.48295981430958,hybrid,2.0,8,5,11.216,1.9504359881152797,1.9308669974140151,0.17389764516006417,1
37,I-Pace,Member,1,20,51.457567,-0.112113,51.473775,-0.068907,2025-09-05T21:10,22.301863032435413,13.111445669712033,hybrid,2.0,8,5,3.494,0.6438433903670024,7.784994928739774,0.18427114778677803,0
38,edrive50,Payg,0,20,51.501025,-0.068688,51.473538,-0.087821,2025-09-01T19:20,17.52557596305077,12.613956656661571,hybrid,2.0,8,5,3.331,0.5889450512506549,4.995747798287049,0.17680728047152652,0
39,turbo cross turismo,Payg,0,20,51.49376,-0.105896,51.461316,-0.204714,2025-09-04T22:04,21.33406825639289,12.681392919408342,time,2.0,8,5,7.736,1.470570431885917,7.2504201630259955,0.19009441984047531,0
40,500E,Member,1,20,51.520368,-0.130325,51.47703,-0.059876,2025-09-03T09:40,29.659715333690798,10.074684721141162,cost,2.0,8,5,6.856,1.255433406673661,8.264203668879325,0.18311455756616993,0
41,99kwh,Payg,0,20,51.449625,-0.018457,51.54028,-0.099315,2025-09-01T22:08,14.960027050934897,12.497347509727215,cost,2.0,8,5,11.53,2.2481233880164058,2.218481065692971,0.19498034588173513,1
42,e-Niro,Member,1,20,51.47364,-0.051738,51.513715,-0.138186,2025-09-13T09:00,34.284848140335654,13.1188478382996,cost,2.0,8,5,7.462,1.4253013457342236,8.252616438833991,0.1910079530600675,0
43,Torres EVX,Payg,0,20,51.526395,-0.083957,51.517125,-0.104675,2025-09-07T09:00,14.840835206916385,13.293531043874742,time,2.0,8,5,1.766,0.31676918466042053,0.3094608326083286,0.17937099924146124,1
44,Born,Payg,0,20,51.491027,-0.181101,51.513338,-0.095697,2025-09-06T09:00,14.387733803541554,11.660697325256566,cost,2.0,8,5,6.411,1.249938527602339,1.2278065646362928,0.19496779404185605,1
45,Enyaq 85,Member,1,20,51.526041,-0.121906,51.528676,-0.127485,2025-09-03T23:48,26.48253522747863,12.356411751467746,time,2.0,8,5,0.485,0.09415932140157847,10.876648867832802,0.19414293072490407,0
46,Enyaq 60,Payg,0,20,51.444789,-0.206519,51.450777,-0.017081,2025-09-02T19:10,31.93838110547584,13.181553033312872,hybrid,2.0,8,5,13.145,2.387452098770549,11.140419097405882,0.18162435137090524,0
47,Enyaq,Member,1,20,51.504643,-0.113133,51.527289,-0.036647,2025-09-06T09:00,14.113162279040806,12.141527551375908,cost,2.0,8,5,5.861,1.0470667305140549,1.0216652679718106,0.17864984311790733,1
48,mach-e er rwd,Payg,0,20,51.541835,-0.117695,51.50006,-0.042085,2025-09-07T09:00,16.29353974280125,14.810675994917625,cost,2.0,8,5,6.996,1.332562156374268,1.3062587945766517,0.19047486511924927,1
49,Q4 e-tron 55 quattro,Payg,0,20,51.543598,-0.120941,51.460097,-0.037671,2025-09-06T09:00,22.93788635813588,13.527210549260001,hybrid,2.0,8,5,10.928,1.9035764542264764,1.8821351617751758,0.1741925745082793,1
50,Kangoo Maxi ZE 33,Payg,0,20,51.537525,-0.067342,51.544964,-0.151065,2025-09-06T09:00,13.22949328010336,10.006368731254453,hybrid,2.0,8,5,5.849,1.0294078922883074,0.9992746339770052,0.17599724607425327,1
51,Funky Cat 63 kWh,Payg,0,20,51.490768,-0.153075,51.542736,-0.092777,2025-09-02T15:03,25.00643934777107,10.116397407411265,hybrid,2.0,8,5,7.127,1.2131641268954625,9.389296230737676,0.17022086809253018,0
52,Q4 Sportback e-tron 55 quattro,Member,1,20,51.452122,-0.029461,51.546544,-0.084884,2025-09-03T17:56,23.99538720955903,13.451501017341872,time,2.0,8,5,11.178,2.1641472207515675,2.1087772384434316,0.19360773132506418,1
53,long range,Member,1,20,51.477922,-0.118418,51.547117,-0.23169,2025-09-07T09:00,14.825924896161109,12.063225487727514,hybrid,2.0,8,5,10.984,2.0863616542642065,2.0462025927073504,0.18994552569776096,1
54,xdrive30,Payg,0,20,51.545074,-0.141579,51.468318,-0.087402,2025-09-02T01:04,33.08723720761699,14.197354746061333,time,2.0,8,5,9.322,1.781946549786641,12.216418642312938,0.19115496135879007,0
55,Spring Electric 45,Payg,0,20,51.449735,-0.017003,51.553268,-0.227195,2025-09-02T20:28,13.616784174520138,10.86507704743131,cost,2.0,8,5,18.553,3.5885559713765174,0.6884883546552863,0.19342187093065905,1
56,ORA 07,Payg,0,20,51.509532,-0.02419,51.54208,-0.047396,2025-09-06T07:49,30.04565827603772,10.06913457026146,cost,2.0,8,5,3.959,0.7275354266606886,16.622440713201488,0.1837674732661502,0
57,CLA,Member,1,20,51.525012,-0.204643,51.507519,-0.009238,2025-09-01T02:57,33.45277458256919,11.940411750568561,hybrid,2.0,8,5,13.66,2.555270142101496,18.304489903817004,0.18706223587858684,0
58,73kwh,Member,1,20,51.494478,-0.049858,51.500585,-0.188001,2025-09-07T09:00,29.029424570752894,13.680320521537244,time,2.0,8,5,9.587,1.6699970146314957,11.21001981122491,0.17419390994382974,0
59,BE11 Long Range,Payg,0,20,51.486741,-0.070359,51.500761,-0.149886,2025-09-03T13:58,36.54374476577132,14.858638666887842,time,2.0,8,5,5.722,0.9924002324231853,17.562018661248235,0.1734359022060792,0
60,suv 500,Member,1,20,51.514536,-0.074001,51.534571,-0.14303,2025-09-06T09:00,32.858106239327356,14.418269396755278,cost,2.0,8,5,5.27,1.0015745082590735,16.69993502196062,0.19005208885371416,0
61,long range,Member,1,20,51.554055,-0.067706,51.467952,-0.045412,2025-09-03T18:52,14.783469013579555,12.420373059685694,time,2.0,8,5,9.698,1.785720730215283,1.7471090169583485,0.184132886184294,1
62,ev320,Member,1,20,51.519625,-0.145577,51.488459,-0.119197,2025-09-06T10:08,14.919442877549544,14.064086415981834,hybrid,2.0,8,5,3.917,0.7323108948726046,0.7249234741709748,0.18695708319443569,1
63,Eletre,Payg,0,20,51.463581,-0.058541,51.484335,-0.210315,2025-09-05T18:00,12.216733994670195,10.35165228933807,cost,2.0,8,5,10.762,2.076527531105338,2.034634587635045,0.19294996572248077,1
64,350,Member,1,20,51.512857,-0.090039,51.496861,-0.024604,2025-09-06T01:38,23.89950093631203,12.861361737924417,cost,2.0,8,5,4.866,0.9198761803536862,10.000028488063066,0.18904154960001773,0
65,awd,Member,1,20,51.477225,-0.146324,51.540914,-0.156161,2025-09-01T17:15,29.08914428742564,14.621492065072351,time,2.0,8,5,7.114,1.3275249156884297,9.264449108557388,0.1866073820197399,0
66,3,Member,1,20,51.493164,-0.106103,51.482516,-0.03997,2025-09-02T00:06,23.61136219146428,11.9819257374537,cost,2.0,8,5,4.73,0.8834514961097744,7.03304014123497,0.18677621482236242,0
67,#5 Pro,Payg,0,20,51.456656,-0.20284,51.464973,-0.108868,2025-09-07T14:11,30.34310966460682,14.800503148315578,time,2.0,8,5,6.576,1.177883275345792,11.566239284983272,0.17911850294187837,0
68,i5,Member,1,20,51.530432,-0.13875,51.511819,-0.174177,2025-09-07T09:00,22.095478165903096,11.103425483645527,hybrid,2.0,8,5,3.208,0.5483259083988186,8.92240231902609,0.1709245350370382,0
69,Air Touring,Payg,0,20,51.532066,-0.077803,51.458079,-0.18197,2025-09-05T07:55,12.648134499258756,10.528169047666967,time,2.0,8,5,10.94,2.0031306471460613,1.9495100877747489,0.18310152167697089,1
70,standard range 2wd,Member,1,20,51.500161,-0.229294,51.541633,-0.055287,2025-09-06T09:00,16.78171130395931,12.623811680408505,cost,2.0,8,5,12.892,2.274632768059681,2.2441458237548617,0.17643754018458588,1
71,ev,Member,1,20,51.448936,-0.039552,51.554297,-0.237761,2025-09-01T21:11,36.38871909200032,14.536234359906121,cost,2.0,8,5,18.041,3.288077957843085,14.150816332612221,0.1822558593117391,0
72,Air,Payg,0,20,51.539063,-0.046559,51.517467,-0.089869,2025-09-02T21:57,15.270183938180818,11.556396093723722,hybrid,2.0,8,5,3.84,0.7511120340404928,0.7427575688914192,0.195602092198045,1
73,#5 Premium,Payg,0,20,51.520469,-0.036952,51.475171,-0.074995,2025-09-04T16:16,22.49611635188935,14.000801596994762,hybrid,2.0,8,5,5.684,1.006171361129758,7.983457892534541,0.17701818457596025,0
74,EQB,Member,1,20,51.492399,-0.066839,51.541125,-0.147415,2025-09-05T21:47,12.703468791946607,10.845986329401406,cost,2.0,8,5,7.774,1.335177365416724,1.3105930267087222,0.17174908225067198,1
75,Kona Electric 48 kWh,Payg,0,20,51.457414,-0.225656,51.552744,-0.010693,2025-09-05T04:00,35.47072642238389,13.727851980004697,time,2.0,8,5,18.268,3.2597696281837356,10.522993720510444,0.17844151676065992,0
76,e-4orce,Member,1,20,51.513503,-0.037523,51.494642,-0.015524,2025-09-07T09:00,19.39432113878913,12.785134706937155,cost,2.0,8,5,2.592,0.4634698506039374,5.765543222609694,0.17880781273300053,0
77,gt quattro,Payg,0,20,51.477704,-0.148716,51.521596,-0.184313,2025-09-04T05:36,25.81161622204893,10.875084876971862,cost,2.0,8,5,5.467,1.037950927580358,12.69938073648306,0.18985749544180686,0
78,#3,Payg,0,20,51.48178,-0.080123,51.530002,-0.217276,2025-09-06T18:50,16.43138541023195,13.590436247188043,cost,2.0,8,5,10.902,2.0355229357447384,1.7606797203812656,0.18671096457023836,1
79,MG4 Electric XPOWER,Payg,0,20,51.501212,-0.181506,51.49003,-0.089243,2025-09-05T14:42,15.569631476986158,13.568780567282136,hybrid,2.0,8,5,6.507,1.259214769399663,1.23425270613399,0.1935169462731924,1
80,5 E-Tech,Member,1,20,51.464729,-0.180282,51.517058,-0.165038,2025-09-01T18:40,28.912210092117572,12.577176145717202,hybrid,2.0,8,5,5.914,1.1232425083248851,6.534013578560149,0.18992940620982163,0
81,Zoe,Payg,0,20,51.519265,-0.103001,51.484065,-0.031843,2025-09-07T09:00,16.269865833747126,11.127338188213374,hybrid,2.0,8,5,6.291,1.1461673923595845,1.1327459543540563,0.18219160584320213,1
82,Ocean Ultra,Payg,0,20,51.487344,-0.086504,51.536039,-0.070511,2025-09-07T16:11,26.264717373638092,10.661469461224982,cost,2.0,8,5,5.527,1.0745627199814753,16.65849647065145,0.19442061153998105,0
83,Model 3,Payg,0,20,51.505016,-0.040305,51.453853,-0.208557,2025-09-07T17:18,18.62262852067691,14.786275242298945,time,2.0,8,5,12.966,2.269169126385699,2.2088094633085236,0.17500918759723114,1
84,Taycan,Member,1,20,51.515939,-0.064368,51.478003,-0.216878,2025-09-06T09:36,34.97684234174059,13.279062691295776,hybrid,2.0,8,5,11.369,1.9404764067837659,15.414656649539415,0.17068136219401583,0
85,63kwh,Payg,0,20,51.527825,-0.060723,51.478499,-0.170747,2025-09-06T09:00,27.213710661031833,14.04620741786692,hybrid,2.0,8,5,9.385,1.6208029752013822,8.305655891842482,0.17270143582326927,0
86,mach-e sr rwd,Member,1,20,51.549189,-0.052262,51.462267,-0.18188,2025-09-04T22:44,34.87581609062498,13.484852645251209,hybrid,2.0,8,5,13.187,2.5275625826894617,14.541114763143282,0.19167078051789352,0
87,Model 3,Payg,0,20,51.495023,-0.09888,51.532192,-0.225628,2025-09-03T10:50,17.186577492256028,14.147368325961445,cost,2.0,8,5,9.696,1.7826708487355238,1.7475452706193855,0.18385631690754164,1
88,xl,Payg,0,20,51.510939,-0.143798,51.515966,-0.125416,2025-09-13T09:00,20.914444295570213,10.812454098744617,hybrid,2.0,8,5,1.389,0.24285019503233019,4.676158093741112,0.17483815337100805,0
89,G 580,Payg,0,20,51.513434,-0.179585,51.447494,-0.05512,2025-09-01T09:37,21.198461502504458,12.484751122735222,time,2.0,8,5,11.316,2.0938146802520903,1.7427420759538472,0.18503134325310092,1
90,#1,Payg,0,20,51.453459,-0.22433,51.549221,-0.011283,2025-09-04T00:37,30.437122386628715,13.335623852511468,time,2.0,8,5,18.189,3.175242145087495,8.036861872683673,0.17456936308139506,0
91,e-3008,Payg,0,20,51.527788,-0.110161,51.513219,-0.17585,2025-09-04T18:33,27.468378221577915,10.51694949947609,cost,2.0,8,5,4.825,0.9210423742925024,12.377621185249179,0.1908896112523321,0
92,long range single motor,Payg,0,20,51.53495,-0.237113,51.450526,-0.011394,2025-09-07T09:37,22.480660613036108,10.749784746642042,time,2.0,8,5,18.23,3.343102867111438,8.795992531554518,0.18338468826722093,0
93,MG4 Electric 51 kWh,Payg,0,20,51.513193,-0.073267,51.512548,-0.159555,2025-09-02T20:40,15.492873055601457,13.169912971254732,cost,2.0,8,5,5.972,1.083503762867446,0.46459201686934504,0.18143063678289448,1
94,sportbacketron 40,Member,1,20,51.524716,-0.055502,51.518921,-0.046573,2025-09-01T17:14,19.84764320486799,14.3435290212691,time,2.0,8,5,0.893,0.1598875088682716,4.217422567258669,0.1790453626744363,0
95,combi standard,Payg,0,20,51.495134,-0.138194,51.509442,-0.194084,2025-09-07T16:22,14.964296869073127,13.302080894707988,hybrid,2.0,8,5,4.183,0.7902041626104894,0.7774881170417598,0.18890847779356668,1
96,Spring Electric 65,Payg,0,20,51.463088,-0.143596,51.499986,-0.175251,2025-09-06T22:37,29.121315452263957,10.181024067280378,cost,2.0,8,5,4.652,0.8413345679288312,5.050744369328913,0.18085437831660173,0
97,turbo s cross turismo,Member,1,20,51.547733,-0.026661,51.496712,-0.192312,2025-09-06T09:00,22.647595931406958,14.852164585451614,time,2.0,8,5,12.788,2.207586015046429,6.516673396101584,0.17262949757948304,0
98,97kwh long range,Member,1,20,51.498692,-0.105382,51.518825,-0.137111,2025-09-05T20:02,11.24590243785993,10.697534504531225,cost,2.0,8,5,3.136,0.5442219952714982,0.531162429380305,0.17354017706361546,1
99,fortwo ED,Payg,0,20,51.513725,-0.10387,51.491612,-0.172164,2025-09-01T08:30,16.347992419558224,11.162811167762449,cost,2.0,8,5,5.328,1.0595097227015946,1.037036250359155,0.19885692993648546,1
100,cabrio,Payg,0,20,51.535112,-0.025294,51.480458,-0.036243,2025-09-05T03:32,18.076407324337943,14.87483640952362,time,2.0,8,5,6.124,1.2080044444968017,1.1944552422372687,0.19725742072122823,1
101,Model 3,Payg,0,20,51.511563,-0.186855,51.545646,-0.020932,2025-09-02T10:50,35.43230768124681,13.855164983266874,hybrid,2.0,8,5,12.088,2.3087017950051303,12.413263566391308,0.1909912140143225,0
102,e-Expert Combi Compact 50 kWh,Member,1,20,51.479805,-0.21189,51.511437,-0.068742,2025-09-07T19:40,18.3729474203868,14.682883401892532,cost,2.0,8,5,10.515,1.8714186793424057,1.8448412096598288,0.1779760988437856,1
103,e+,Member,1,20,51.481559,-0.125795,51.549708,-0.011553,2025-09-07T02:48,24.764213757885223,14.033098464040147,cost,2.0,8,5,10.951,2.180073515250048,2.1462230587690154,0.19907529132043172,1
104,scorpionissima,Member,1,20,51.446445,-0.112646,51.484282,-0.171032,2025-09-07T09:00,28.913246192226516,13.258672375016001,hybrid,2.0,8,5,5.836,1.1284637082663314,5.919036790658555,0.19336252711897384,0
105,e-tron 55,Payg,0,20,51.508926,-0.073798,51.452414,-0.101541,2025-09-07T09:00,17.644420721426464,11.42276499431503,hybrid,2.0,8,5,6.571,1.2583905629889127,1.2443311454222867,0.19150670567476988,1
106,i3 94,Payg,0,20,51.461971,-0.079448,51.536145,-0.053617,2025-09-07T09:00,19.208209137950746,11.634407208497628,hybrid,2.0,8,5,8.439,1.548394851497743,1.5147603858906238,0.18348084506431367,1
107,3 long range,Member,1,20,51.489245,-0.071448,51.47201,-0.19484,2025-09-07T16:04,30.483957501289602,14.736355365221849,time,2.0,8,5,8.757,1.5602105807123419,11.570770324870384,0.1781672468553548,0
108,44,Member,1,20,51.552015,-0.051832,51.501557,-0.151126,2025-09-05T18:26,30.028634751701592,14.303128080778222,cost,2.0,8,5,8.869,1.5333767433001817,7.0591017514504095,0.172891728864605,0
109,e-tech ev40 130hp,Member,1,20,51.448185,-0.012025,51.536744,-0.243383,2025-09-07T13:51,14.007873457426921,11.797452242211632,hybrid,2.0,8,5,18.802,3.7054619077945197,0.8835958381028994,0.19707807189631527,1
110,Zoe,Member,1,20,51.523052,-0.048374,51.519257,-0.087668,2025-09-04T09:31,14.31846897052757,11.866337088103519,time,2.0,8,5,2.751,0.505285217199968,0.49042637648481036,0.18367328869500835,1
111,S+,Member,1,20,51.491895,-0.136224,51.497154,-0.09922,2025-09-07T09:00,13.76266142389155,11.488471951379424,cost,2.0,8,5,2.628,0.462714327680456,0.4548378945024254,0.1760709009438569,1
112,crossback e-tense,Payg,0,20,51.471047,-0.048345,51.504044,-0.234674,2025-09-06T09:00,16.77827970632506,11.63065071312502,hybrid,2.0,8,5,13.413,2.4168223586247155,2.3831463186918898,0.1801850710970488,1
113,combi xl,Payg,0,20,51.494373,-0.120949,51.510867,-0.064218,2025-09-01T02:22,16.219195543022835,14.303337331443927,cost,2.0,8,5,4.334,0.7765604802720678,0.7663432846315793,0.17917869872451958,1
114,ze40 r110,Payg,0,20,51.496524,-0.148692,51.528141,-0.075146,2025-09-06T21:46,25.758190389127915,10.052534282949233,hybrid,2.0,8,5,6.186,1.1591115676042372,6.442888470830119,0.18737658706825688,0
115,250,Payg,0,20,51.455069,-0.119451,51.501721,-0.183967,2025-09-07T09:00,18.105477949764236,12.180263105547624,cost,2.0,8,5,6.846,1.2001255941600595,1.1850429688433224,0.17530318348817697,1
116,A6 Avant e-tron performance,Member,1,20,51.516688,-0.200918,51.506791,-0.13349,2025-09-02T20:13,24.190819631183594,14.714198392639538,time,2.0,8,5,4.794,0.9381782663381655,9.007346244519999,0.19569842852277128,0
117,mach-e sr,Member,1,20,51.529462,-0.012662,51.46603,-0.030661,2025-09-06T12:19,14.72751197353752,12.713181775914045,time,2.0,8,5,7.162,1.3805155061803933,1.3652682450559113,0.19275558589505631,1
118,Model S,Member,1,20,51.553379,-0.07207,51.458531,-0.158104,2025-09-04T09:11,22.585062239258086,12.252228950719518,time,2.0,8,5,12.111,2.320272475785654,7.1223641621483615,0.1915838886785281,0
119,EV9 99.8 kWh AWD GT-Line,Member,1,20,51.516697,-0.068322,51.551221,-0.140719,2025-09-06T09:00,12.739913985116242,11.56184902349794,cost,2.0,8,5,6.31,1.1544952124294272,1.1309423631535709,0.18296279119325312,1
120,E-Ulysse L2 50 kWh,Payg,0,20,51.544771,-0.027087,51.448394,-0.2414,2025-09-07T09:21,29.481348230505127,10.369563149309519,hybrid,2.0,8,5,18.302,3.4557701920760837,8.850493927600947,0.1888192652210733,0
121,SEAL,Payg,0,20,51.517027,-0.165737,51.480794,-0.014047,2025-09-06T09:00,19.812654054083296,11.122432390137565,time,2.0,8,5,11.247,2.109070495690846,6.233600915664033,0.18752293906738207,0
122,BE11 Standard Range,Payg,0,20,51.494028,-0.11377,51.515475,-0.140293,2025-09-02T09:11,31.669640010917767,10.452292049684356,hybrid,2.0,8,5,3.009,0.5701916527223536,14.427796613638721,0.18949539804664461,0
123,E-Expert,Member,1,20,51.517698,-0.101497,51.457087,-0.011288,2025-09-05T12:59,26.324057199916783,10.633497148577142,hybrid,2.0,8,5,9.189,1.5854087660086333,11.763679346598968,0.17253332963419668,0
124,Mustang Mach-E SR RWD,Member,1,20,51.448987,-0.214512,51.554691,-0.016972,2025-09-07T18:28,27.940613417177822,10.81758272063135,cost,2.0,8,5,18.031,3.290192698056148,12.43672755854428,0.1824742220651183,0
125,Enyaq Coupe iV 80x,Payg,0,20,51.516593,-0.160458,51.521729,-0.219736,2025-09-03T03:45,32.46517078847631,11.510147160421392,hybrid,2.0,8,5,4.141,0.709139728818863,16.13354072061146,0.1712484252158568,0
